ID materiału,Etap,Sesje docelowe,Brief,Prompt lub dokładny tekst,Źródło,Model i wersja,Plan/licencja,Data,Plik master,Eksport,Status,Uwagi z telefonu
V11,PO PRZEGLĄDZIE PILOTA,micro-walk-reset; morning-reset-ritual; quick-mood-shift,"poster + demonstracja, nie loop sugerujący konieczność ciągłego marszu","Original premium botanical-anatomical illustration for Releaf. Grounded figure takes a few unhurried steps on a level surface.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V11_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
V12,PO PRZEGLĄDZIE PILOTA,one-small-next-step; deep-focus-method; before-exam; work-overwhelm; 5min-focus,"poster + loop; do focus/next-step, bez pulsowania wymuszającego oddech","Original premium botanical-anatomical illustration for Releaf. Stable leaf and a single clear pool of light. Attention settles, then one small path is revealed.. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/V12_A_v01_master.png + mp4,Codex: sterowane stany lub MP4 H.264 + poster,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
M01,PO PRZEGLĄDZIE PILOTA,mindfulness-basics-2; breath-and-body-4; morning-arrival-4,"Poster + spokojny loop 6–10 s, bez audio i tekstu","Original premium botanical-anatomical illustration for Releaf. Spokojna botaniczna forma w jasnej przestrzeni. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/M01_A_v01_master.mp4,Codex: MP4 720p + WebP,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
M02,PO PRZEGLĄDZIE PILOTA,body-scan-5; soften-tension-4; whole-body-scan-10,"Poster + spokojny loop 6–10 s, bez audio i tekstu","Original premium botanical-anatomical illustration for Releaf. Figura lub kamień z czytelnym podparciem. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/M02_A_v01_master.mp4,Codex: MP4 720p + WebP,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
M03,PO PRZEGLĄDZIE PILOTA,focus-anchor-5; after-distraction-6; work-break-3; steady-attention-10,"Poster + spokojny loop 6–10 s, bez audio i tekstu","Original premium botanical-anatomical illustration for Releaf. Stabilny punkt uwagi w organicznej przestrzeni. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/M03_A_v01_master.mp4,Codex: MP4 720p + WebP,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
M04,PO PRZEGLĄDZIE PILOTA,anxious-thoughts-5; before-a-difficult-moment-4; self-kindness-5; sitting-with-uncertainty-8,"Poster + spokojny loop 6–10 s, bez audio i tekstu","Original premium botanical-anatomical illustration for Releaf. Ciepłe miękkie warstwy liści. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/M04_A_v01_master.mp4,Codex: MP4 720p + WebP,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
M05,PO PRZEGLĄDZIE PILOTA,working-with-thoughts-5; open-awareness-6; open-field-10,"Poster + spokojny loop 6–10 s, bez audio i tekstu","Original premium botanical-anatomical illustration for Releaf. Otwarta przestrzeń i powolne światło. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/M05_A_v01_master.mp4,Codex: MP4 720p + WebP,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
M06,PO PRZEGLĄDZIE PILOTA,let-the-day-go-6; body-into-stillness-8; quiet-night-10,"Poster + spokojny loop 6–10 s, bez audio i tekstu","Original premium botanical-anatomical illustration for Releaf. Ciemna nocna kompozycja botaniczna. Sculptural organic depth, finely layered plant-like structures, restrained sage and deep forest-green palette, soft directional studio lighting, subtle tactile texture, elegant mature composition. Clearly readable silhouette against a dark quiet background. Generous negative space. Non-clinical, non-gory, no text, no symbols, no logo, no watermark. No cartoon styling, flat diagram or artist imitation.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,01_visuals/M06_A_v01_master.mp4,Codex: MP4 720p + WebP,DO PRZYGOTOWANIA; NIEZATWIERDZONE,
A01_A,PILOT 60–90 s,mindfulness-basics-2; breath-and-body-4,podstawy/obecność; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Airy warm sustained tones, gently spacious and neutral, no beat.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A01_A_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A01_B,PO PRZEGLĄDZIE PILOTA,mindfulness-basics-2; breath-and-body-4,podstawy/obecność; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Airy warm sustained tones, gently spacious and neutral, no beat.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A01_B_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A02_A,PILOT 60–90 s,body-scan-5; soften-tension-4; whole-body-scan-10; 60s-grounding; back-to-room; jaw-shoulders; object-anchor; sound-anchor; press-release; cool-water-reset; shoulder-drop-reset; shake-it-out; micro-walk-reset; confidence-posture-reset; body-recalibration; before-panic-builds; before-interview; before-presentation; panic-spike; social-pressure; travel-stress; equal-rhythm; 90s-calm-down; longer-exhale; box-breathing; energy-up-breath; anxiety-slow-cycle; wired-steady; tension-body-scan; overwhelm-stability; anger-release; 3min-breath,ciało/napięcie/grounding; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Low-mid soft wooden resonance and steady warm texture, no booming sub-bass.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A02_A_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A02_B,PO PRZEGLĄDZIE PILOTA,body-scan-5; soften-tension-4; whole-body-scan-10; 60s-grounding; back-to-room; jaw-shoulders; object-anchor; sound-anchor; press-release; cool-water-reset; shoulder-drop-reset; shake-it-out; micro-walk-reset; confidence-posture-reset; body-recalibration; before-panic-builds; before-interview; before-presentation; panic-spike; social-pressure; travel-stress; equal-rhythm; 90s-calm-down; longer-exhale; box-breathing; energy-up-breath; anxiety-slow-cycle; wired-steady; tension-body-scan; overwhelm-stability; anger-release; 3min-breath,ciało/napięcie/grounding; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Low-mid soft wooden resonance and steady warm texture, no booming sub-bass.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A02_B_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A03_A,PO PRZEGLĄDZIE PILOTA,focus-anchor-5; after-distraction-6; work-break-3; steady-attention-10; eye-focus-reset; one-small-next-step; deep-focus-method; before-exam; work-overwhelm; focus-breath; 5min-focus,uwaga/praca; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Sparse clean rounded tones with long quiet spaces, almost still, no arpeggio pattern.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A03_A_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A03_B,PO PRZEGLĄDZIE PILOTA,focus-anchor-5; after-distraction-6; work-break-3; steady-attention-10; eye-focus-reset; one-small-next-step; deep-focus-method; before-exam; work-overwhelm; focus-breath; 5min-focus,uwaga/praca; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Sparse clean rounded tones with long quiet spaces, almost still, no arpeggio pattern.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A03_B_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A04_A,PILOT 60–90 s,anxious-thoughts-5; before-a-difficult-moment-4; self-kindness-5; sitting-with-uncertainty-8; name-the-thought; make-room; emotional-stability-drill; after-conflict; overthinking-let-go,życzliwość/emocje; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Warm intimate instrumental harmony without sentimental melody or voice.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A04_A_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A04_B,PO PRZEGLĄDZIE PILOTA,anxious-thoughts-5; before-a-difficult-moment-4; self-kindness-5; sitting-with-uncertainty-8; name-the-thought; make-room; emotional-stability-drill; after-conflict; overthinking-let-go,życzliwość/emocje; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Warm intimate instrumental harmony without sentimental melody or voice.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A04_B_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A05_A,PO PRZEGLĄDZIE PILOTA,working-with-thoughts-5; open-awareness-6; open-field-10,otwarta uwaga/myśli; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Wide diffuse airy textures with very slow changes, no prominent lead.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A05_A_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A05_B,PO PRZEGLĄDZIE PILOTA,working-with-thoughts-5; open-awareness-6; open-field-10,otwarta uwaga/myśli; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Wide diffuse airy textures with very slow changes, no prominent lead.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A05_B_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A06_A,PO PRZEGLĄDZIE PILOTA,morning-arrival-4; pushups-activation; morning-reset-ritual; quick-mood-shift,poranek/łagodna aktywacja; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Light gently luminous timbre, subtle lift without a beat or motivational build.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A06_A_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A06_B,PO PRZEGLĄDZIE PILOTA,morning-arrival-4; pushups-activation; morning-reset-ritual; quick-mood-shift,poranek/łagodna aktywacja; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Light gently luminous timbre, subtle lift without a beat or motivational build.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A06_B_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A07_A,PO PRZEGLĄDZIE PILOTA,let-the-day-go-6; body-into-stillness-8,wieczór/wyciszenie; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Soft dark warm sustained bed, progressively quieter feeling without a volume drop to silence.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A07_A_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A07_B,PO PRZEGLĄDZIE PILOTA,let-the-day-go-6; body-into-stillness-8,wieczór/wyciszenie; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Soft dark warm sustained bed, progressively quieter feeling without a volume drop to silence.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A07_B_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
A08_A,PO PRZEGLĄDZIE PILOTA,quiet-night-10; sleep-faster-routine; night-nervous-system-unwind; overthinking-night; sleep-downshift; evening-unwind,noc; opcjonalnie Sleep po oddzielnym przeglądzie; master docelowo 3–5 min,"Instrumental ambient sound bed for a spoken mindfulness practice. Extremely sparse soft non-vocal ambient texture, stable dynamics, no bright accents.. Very low event density, restrained harmonic movement, smooth sustained textures, no vocals, chanting, humming, whispering, breathing, spoken words, percussion hits, sudden swells or dramatic ending. Leave space for a warm female speaking voice. No medical or frequency-treatment concept. Stable middle section suitable for careful loop editing. No recognizable melody or imitation of a named artist.",DO UZUPEŁNIENIA,DO UZUPEŁNIENIA,NIEZWERYFIKOWANE,,02_music/A08_A_v01_master.wav,"Codex: osobne tło, mastering i loop",DO PRZYGOTOWANIA; PRAWA DO SPRAWDZENIA,
